id,task,kind,method,acceptance,status,evidence
G00,T00,mixed,任务卡指定实际检查,查看inventory与migration记录；git status/remotes/refs必须真实；学习仓库无变化。,not_run,
G01,T01,automated,任务卡指定实际检查,检查显式target/source与无TS服务；configure成功或记录具体缺环境。依赖lock禁止无来源SHA。,not_run,
G02,T02,mixed,任务卡指定实际检查,ctest标签platform_probe；实际受限编译和安全探针必须通过才解锁候选生产路径。音频界面人工启动可awaiting_user。,not_run,
G03,T03,automated,任务卡指定实际检查,ctest -L domain；独立golden覆盖key顺序、负零、UTF8、整数边界、单位和状态拒绝。,not_run,
G04,T04,automated,任务卡指定实际检查,ctest -L store；CAS冲突、容量满、路径逃逸、损坏、未知schema、文件与DB提交失败注入。,not_run,
G05,T05,automated,任务卡指定实际检查,ctest -L authority；非法role/重放/跨workspace/过大frame/连接中断/相同key异内容测试。,not_run,
G06,T06,automated,任务卡指定实际检查,ctest -L sdk；缺依赖、依赖环、输出schema、退出/协议、两worker状态独立。,not_run,
G07,T07,automated,任务卡指定实际检查,ctest -L sandbox和runner；洪泛/超时/越界/不信任hash/取消/配额真实执行。,not_run,
G08,T08,mixed,任务卡指定实际检查,ctest -L mcp；真实子进程initialize/list/call/pagination/cancel/错误，人工客户端连接另记。,not_run,
G09,T09,mixed,任务卡指定实际检查,ctest -L project；用户中途改单文件阻止整个apply，多文件中断恢复；VS真实断点待人工证据。,not_run,
G10,T10,automated,任务卡指定实际检查,ctest -L validation；dishonest worker、旧hash、oracle保密、超时、required suite缺失均有失败用例。,not_run,
G11,T11,automated,任务卡指定实际检查,ctest -L library；新版本不改旧绑定，同版本不同hash冲突，取消/重启不重复消费批准。,not_run,
G12,T12,automated,任务卡指定实际检查,ctest -L workflow；fanout/join/独立分支失败/下游skipped/取消/类型错/移动节点hash不变/组合新W复用。,not_run,
G13,T13,mixed,任务卡指定实际检查,ctest -L ui_model；实际1280x720/DPI/中文路径/运行中交互检查，人工项保留真实状态。,not_run,
