file_id,task,component,path,kind,responsibility,verification
F001,T00,C12,AGENTS.md,config,复制固定生产实现约束，保留适用本地规则并记录冲突,G00
F002,T00,C12,implementation/progress.json,config,真实任务与门禁状态；初始not_started,G00
F003,T00,C12,implementation/inventory.json,config,实际路径、远端、分支、脏文件、Windows与工具能力清单,G00
F004,T00,C12,implementation/migration-plan.md,config,legacy SHA/远端证据/正常提交迁移计划,G00
F005,T00,C12,README.md,config,项目目标、构建、实际完成状态与规范入口,G00
F006,T00,C12,.gitignore,config,排除build/dist/deps缓存、运行数据、密钥、用户预设，保留规范与锁,G00
F007,T01,C12,CMakeLists.txt,config,显式targets、源码清单、依赖方向与最小分阶段开启,G01
F008,T01,C12,CMakePresets.json,config,win-debug/win-release configure build test三组,G01
F009,T01,C12,cmake/Dependencies.cmake,config,精确离线依赖位置与hash/版本门禁,G01
F010,T01,C12,cmake/Warnings.cmake,config,MSVC/CRT/precise/UTF-8一致选项,G01
F011,T01,C12,cmake/Packaging.cmake,config,带许可证的install规则，T18仅补最终产物清单,G01
F012,T01,C12,deps/lock.json,config,真实完整依赖hash、许可、来源与构建选项,G01
F013,T01,C12,implementation/toolchain.json,config,真实cl/SDK/cmake/ninja/Qt路径与fingerprint,G01
F014,T01,C12,docs/BUILD.md,config,普通VS打开/F5与命令行同源构建,G01
F015,T01,C12,docs/LICENSE-DECISION.md,config,实际许可证据与所有者待决定事项，不代签,G01
F016,T01,C12,cmake/BootstrapDependencies.cmake,config,只从锁定官方版本预取并核对字节；不执行模型命令字符串,G01
F017,T02,C07,libs/runner/windows_sandbox.hpp,header,AppContainer token/ACL/security attributes与Job启动原语；仅公开/私有类型声明，禁止实现跨层业务,G02
F018,T02,C07,libs/runner/windows_sandbox.cpp,source,AppContainer token/ACL/security attributes与Job启动原语；按同名头文件实现，不增加公共入口,G02
F019,T02,C07,tests/fixtures/sandbox_probe.cpp,source,受控probe尝试文件/网络/子进程/资源行为，绝无真实破坏,G02
F020,T02,C07,tests/platform_probe.cpp,source,真实受限CMake编译调用与取消，oracle在父进程,G02
F021,T02,C12,examples/audio-smoke/CMakeLists.txt,config,JUCE空壳M0构建入口，不包含正式DSP,G02
F022,T02,C12,examples/audio-smoke/PluginProcessor.cpp,source,临时静音processor检查VST3/Standalone入口，明确非最终产品,G02
F023,T03,C01,libs/domain/ids.hpp,header,强类型ID/revision/hash与无损解析；仅公开/私有类型声明，禁止实现跨层业务,G03
F024,T03,C01,libs/domain/ids.cpp,source,强类型ID/revision/hash与无损解析；按同名头文件实现，不增加公共入口,G03
F025,T03,C01,libs/domain/error.hpp,header,错误枚举与Result类型；仅公开/私有类型声明，禁止实现跨层业务,G03
F026,T03,C01,libs/domain/error.cpp,source,错误枚举与Result类型；按同名头文件实现，不增加公共入口,G03
F027,T03,C01,libs/domain/records.hpp,header,data-model记录和序列化，闭合字段校验；仅公开/私有类型声明，禁止实现跨层业务,G03
F028,T03,C01,libs/domain/records.cpp,source,data-model记录和序列化，闭合字段校验；按同名头文件实现，不增加公共入口,G03
F029,T03,C01,libs/domain/schema.hpp,header,固定JSON Schema子集与typed value校验；仅公开/私有类型声明，禁止实现跨层业务,G03
F030,T03,C01,libs/domain/schema.cpp,source,固定JSON Schema子集与typed value校验；按同名头文件实现，不增加公共入口,G03
F031,T03,C01,libs/domain/science.hpp,header,V1单位/量种/策略/未知不确定度元数据；仅公开/私有类型声明，禁止实现跨层业务,G03
